skier_id,fname,lname,dob,height,weight,ability_level
1,Sile,Dreger,2014-04-23,45,73,1
2,Briney,Gentsch,1991-12-28,74,243,1
3,Roderigo,Niles,1948-11-04,80,225,2
4,Caron,Turmall,1944-09-19,77,225,1
5,Ansel,Hillyatt,1955-04-27,60,223,2
6,Audrye,Pinks,1978-09-05,82,214,2
7,Lynde,McCane,2008-12-21,51,119,1
8,Lothaire,Kimmings,1958-12-10,68,198,2
9,Wrennie,Drysdall,1973-08-06,75,206,3
10,Winnie,Stratton,1966-05-20,77,207,1
11,Anderea,Batecok,1969-02-12,69,213,1
12,Jacinta,Petherick,1958-11-02,68,187,1
13,Ainsley,Crumpe,2011-02-01,40,76,1
14,Carver,Plester,2008-11-12,46,50,1
15,Rees,Lett,1985-07-22,84,221,1
16,Lamond,Brisker,1955-06-23,70,180,2
17,Brianna,Nye,2007-04-21,73,217,3
18,Debra,Barg,1978-08-17,76,201,1
19,Jo ann,Ledingham,1948-07-04,77,201,1
20,Juliette,Breslau,1968-01-10,81,215,1
21,Melodie,Harradence,1983-03-15,71,211,3
22,Merilyn,Cotesford,1988-05-10,65,226,2
23,Kerwin,MacKimmie,1951-08-30,82,205,1
24,Rafael,Byham,1973-04-08,72,183,2
25,Aurel,Kitney,2000-08-25,79,200,1
26,Dorian,MacLoughlin,1992-10-09,72,211,2
27,Tremayne,Carrol,2006-02-01,69,217,1
28,Huntley,Odell,1961-12-09,69,181,2
29,Beverlie,Mulderrig,2002-06-12,83,223,2
30,Lorin,Wherrit,1981-08-15,69,184,3
31,Marleen,Alf,1940-06-01,81,246,1
32,Alfy,Pentelo,1979-02-05,69,218,1
33,Birch,Beswetherick,1986-08-19,75,211,1
34,Georgianne,Pattle,1981-09-12,67,194,1
35,Selinda,Flather,1986-10-10,61,202,2
36,Christiano,Popeley,1995-07-17,75,184,1
37,Philis,Fernihough,1983-04-04,74,232,1
38,Harrie,Coath,1957-09-23,80,215,2
39,Mychal,Larder,1945-03-15,62,233,1
40,Camilla,Whitney,1981-06-19,75,197,1
41,Demetris,Bartod,1972-08-31,75,242,2
42,Irving,Paulat,2002-12-04,67,193,1
43,Anatol,Keable,1946-04-19,80,190,1
44,Anastassia,Arundale,1948-07-01,71,193,3
45,Valaria,Farrand,2001-07-28,61,215,1
46,Rollin,Chastey,1999-11-03,71,185,3
47,Prudy,Weld,1990-06-20,66,248,3
48,Ynez,Boscott,1967-03-08,64,238,3
49,Robby,Karlmann,1994-10-07,63,192,3
50,Eddie,Braker,1992-06-20,60,243,3
51,Michal,Bessent,1966-06-28,69,215,3
52,Kristel,Wreight,1953-04-19,68,185,1
53,Si,Manton,1962-09-23,64,243,2
54,Thibaud,Freeberne,1980-11-07,72,230,3
55,Gussi,Matussov,1959-06-12,75,182,1
56,Caryl,Besnardeau,2007-04-25,77,207,2
57,Essy,McKinnon,1959-03-07,65,211,2
58,Gordan,Milnthorpe,1994-02-22,73,202,3
59,Babita,Bromhead,1969-03-06,66,203,1
60,Manda,Hosburn,2001-11-12,84,219,1
61,Christiana,Wyard,1973-12-26,76,190,1
62,Georgianna,Marran,1956-04-03,75,199,3
63,Guenevere,Dumbar,1988-07-20,75,205,1
64,Wilhelm,Treby,2006-09-30,61,245,3
65,Christen,Grellier,1985-10-04,68,221,1
66,Kaleb,Bygott,1960-06-02,72,215,2
67,Noah,Ogelsby,1975-02-09,74,216,3
68,Franny,Portress,2013-05-26,44,89,1
69,Arlen,Jacks,1945-09-10,70,250,3
70,Waldo,Kennewell,2004-11-08,77,240,2
71,Giulio,Zuker,1979-07-19,78,240,2
72,Karisa,Kunneke,1955-10-04,78,219,2
73,Gardener,Farrall,1965-01-21,70,247,2
74,Crawford,Thecham,1964-10-17,81,215,1
75,Ronnie,Molyneux,1969-11-25,78,241,2
76,Astrid,Timmis,1979-08-20,84,208,2
77,Larina,Temporal,1946-01-12,63,188,2
78,Mari,Semens,1986-03-22,77,195,2
79,Reamonn,Slevin,2007-12-16,69,217,1
80,Willdon,Linzee,2007-12-11,83,242,2
81,Shane,Ruggs,1959-03-08,70,192,3
82,Alan,Sweedland,1972-10-19,72,199,3
83,Selia,Trowsdale,1974-01-17,60,235,3
84,Saundra,Covely,2014-03-13,49,73,1
85,Muffin,De Luna,1947-01-27,61,234,2
86,Jilleen,Collet,1944-03-05,80,191,3
87,Klara,Bartali,1999-01-27,61,197,2
88,Vera,Stickles,1947-08-14,76,227,1
89,Arther,Faichnie,1985-05-16,60,194,2
90,Bellanca,Donavan,1951-12-19,65,248,3
91,Haskel,Smitherham,1958-06-03,83,194,2
92,Ogden,Instone,1957-03-07,70,237,3
93,Duane,Woodruffe,2007-08-08,81,241,1
94,Dulcea,Shegog,1965-04-13,71,247,3
95,Janene,Flecknell,1956-02-01,81,238,2
96,Jere,MacCafferky,1980-02-26,78,211,2
97,Rolando,Derx,2012-03-31,46,100,1
98,Reynold,Noone,1948-10-22,70,190,1
99,Tommi,Bootman,2005-09-27,66,241,1
100,Rivalee,Bolger,1982-05-30,68,198,3
101,Caroline,Fairey,1976-09-14,76,211,1
102,Noe,Wilkin,1947-10-06,71,246,3
103,Jarrid,MacCumiskey,2005-08-14,61,196,3
104,Ambrosius,Legonidec,1943-09-10,83,207,1
105,Benni,McDuall,1951-07-13,73,248,3
106,Marlow,Hamil,2014-01-16,42,86,1
107,Melisandra,Monro,1955-06-21,77,195,2
108,Sisely,Barehead,1944-02-07,71,189,2
109,Frederique,Lorans,1948-04-18,64,222,3
110,Izzy,Sugden,1958-04-30,63,209,2
111,Dorry,Nestor,2014-01-26,55,161,1
112,Trev,Barbrick,2004-01-11,62,212,1
113,Arel,Limon,1948-08-15,69,215,1
114,Kristina,McCarly,1947-04-06,67,226,2
115,Saw,Crockett,1999-10-09,69,220,3
116,Estrellita,Heak,1980-09-25,61,243,1
117,Penni,Crowder,1968-12-14,76,180,3
118,Thorstein,Gainsbury,2006-01-31,62,223,2
119,Tressa,Darnbrough,1987-05-20,60,206,3
120,Giovanna,Millom,1992-12-01,84,202,1
121,Guenevere,Plessing,1954-08-07,64,207,1
122,Doralynne,McDavitt,1965-02-15,65,237,1
123,Romain,Ogglebie,1950-10-31,80,237,3
124,Kaitlin,Vasilechko,1962-07-29,72,184,2
125,Chas,Willicott,2006-01-10,79,183,3
126,Ivie,Fossitt,1998-05-05,63,202,2
127,Bryna,Hounsham,1966-09-10,64,205,2
128,Dayna,Levensky,1974-11-14,82,180,3
129,Nola,Flageul,1950-05-24,83,238,1
130,Dunstan,Truesdale,2010-05-24,44,77,1
131,Murray,Sloane,1961-04-29,69,242,1
132,Merilee,Cockman,1941-07-21,72,223,2
133,Elbertina,Tidbald,1962-03-10,63,249,3
134,Jennifer,Janton,1972-09-22,80,184,3
135,Darcy,Ausiello,1981-09-28,60,212,3
136,Clyde,Cradoc,1968-03-26,71,212,3
137,Cesya,Lorain,1997-08-22,76,192,2
138,Stinky,Bangham,1997-10-23,64,193,1
139,Ula,Scrimshaw,2011-07-08,53,170,1
140,Palmer,Hellwig,1975-10-02,60,246,2
141,Mendie,Newns,1967-01-10,84,195,1
142,Lina,Risebrow,1947-02-16,62,215,2
143,Theo,Klesel,1942-12-25,72,236,2
144,Asia,Bruno,1972-09-16,72,198,3
145,Ashton,Irvin,1959-08-25,69,223,2
146,Tatum,Huish,2007-12-10,74,242,3
147,Rickie,Grenfell,2013-12-27,42,77,1
148,Jasmine,Barrowcliff,1987-07-15,81,195,3
149,Virge,Broddle,1944-07-05,68,202,1
150,Idaline,Sumnall,1987-06-16,67,211,2
151,Aleen,Pennone,1981-06-25,65,195,1
152,Quinta,Parades,1969-05-13,78,192,1
153,Jason,Hudel,1945-03-19,78,239,2
154,Emyle,Slesser,1942-12-31,79,206,2
